Z mean train,Z variance train,KL Divergence,KL Loss,QF Loss,VF Loss,Policy Loss,Aux Loss,Q Predictions Mean,Q Predictions Std,Q Predictions Max,Q Predictions Min,V Predictions Mean,V Predictions Std,V Predictions Max,V Predictions Min,Log Pis Mean,Log Pis Std,Log Pis Max,Log Pis Min,Policy mu Mean,Policy mu Std,Policy mu Max,Policy mu Min,Policy log std Mean,Policy log std Std,Policy log std Max,Policy log std Min,Z mean eval,Z variance eval,AverageTrainReturn_all_train_tasks,AverageReturn_all_train_tasks,AverageReturn_all_test_tasks,Number of train steps total,Number of env steps total,Number of rollouts total,Train Time (s),(Previous) Eval Time (s),Sample Time (s),Epoch Time (s),Total Train Time (s),Epoch
0.0015560477,0.6929026,2.8703434,0.28703436,72.86572,4.1250286,-1.9996942,23.711319,0.0009505996,0.0004970766,0.0024527262,-0.00051259616,0.0040496616,0.0007868094,0.0059076003,0.0013959345,-2.0111866,0.37737986,-0.81626797,-3.7421584,1.48845575e-05,0.00080866634,0.0011031306,-0.0018122694,0.00029189282,0.00022250117,0.0009376247,-0.00048041894,0.027269758,0.8065744,-7.262790794230966,-7.572588858593088,-6.489560369427439,1000,14800,0,120.68046211900219,0,28.040869972999644,148.72133209200183,166.2053508300014,0
0.037964113,0.82024455,0.50360364,0.050360363,1.0420246,0.32852376,14.702513,9.243127,-17.013054,5.8854733,-4.232543,-49.627167,-15.125816,5.866686,-2.8106112,-49.177307,-1.8162414,0.6842486,0.6007408,-5.8073487,0.08221095,0.32488373,0.6656835,-0.77843946,-0.20907362,0.045998674,-0.14542033,-0.35598356,0.022769684,0.85908914,-6.5400538359653995,-6.61443165543141,-6.918023556570669,2000,19600,0,120.92068484600168,17.532034100997407,9.536308603994257,147.98902755099334,314.45480129800126,1
0.028422603,1.0999542,0.41391605,0.041391607,2.302106,0.25942478,25.269136,7.5441256,-27.923473,12.189065,-5.809872,-69.0447,-25.528782,11.811874,-4.106988,-66.44839,-1.3298478,1.1517005,2.4627428,-6.7360644,0.24676812,0.51657146,1.217706,-1.1798086,-0.2591295,0.065860264,-0.12502137,-0.42412326,0.018618083,0.91998786,-6.83301098430284,-6.47567277753013,-6.183524831513381,3000,24400,0,121.32054023400269,17.805591527001525,9.591393400001834,148.71752516100605,463.01739647800787,2
0.0129655255,0.8825167,0.88094616,0.088094614,2.661843,0.28762865,32.4703,8.8822155,-35.679924,16.171806,-6.908717,-106.20073,-32.556946,15.034763,-5.169838,-97.75907,-1.2497513,1.2393044,3.060128,-7.176028,0.1922816,0.5737957,1.2421974,-1.2906637,-0.27624276,0.0861744,-0.10698791,-0.5029229,0.03503579,0.869154,-5.3662698943750735,-4.865425935251585,-5.257487103125646,4000,29200,0,120.20831012000053,17.678988132000086,9.733064217012725,147.62036246901334,610.5821360590162,3
0.013840792,0.8983364,1.2062578,0.12062579,3.268182,0.36834875,34.612617,9.7772255,-37.450603,21.781174,-0.91452765,-129.92035,-34.97946,20.470161,-0.8393418,-124.68638,-1.2533622,1.2981622,3.40832,-6.44629,0.2541283,0.5724499,1.4272445,-1.4187162,-0.28296247,0.09219033,-0.095729396,-0.53957087,0.0904196,0.8261052,-5.161167442954135,-4.710678026898671,-6.7122570745864065,5000,34030,0,122.45224020499882,17.586918792996585,9.769806404008705,149.8089654020041,760.898042254019,4
0.017313456,0.8509991,0.9234448,0.092344485,3.7817273,1.1873529,41.092285,7.957054,-43.879513,21.379328,3.3343723,-198.29686,-40.229954,19.823004,2.447304,-184.66852,-1.0885205,1.3190434,4.232101,-7.5301094,0.33221164,0.5677221,1.4902142,-1.3456184,-0.30097193,0.09612671,-0.081851065,-0.5732608,0.11698275,0.75729275,-5.165177941136853,-4.445121175087204,-6.4259825329010996,6000,39161,0,120.929636871002,18.0973191209996,10.174805273993115,149.20176126599472,910.4080200470198,5
0.023962133,0.77954507,1.839762,0.1839762,4.9357777,0.3674983,39.909534,8.229447,-42.610466,22.344595,7.595328,-120.01342,-39.78427,21.018682,6.92836,-122.01076,-1.1306436,1.2679085,3.673161,-8.339479,0.2626294,0.58524066,1.5375245,-1.3380269,-0.29515827,0.096708536,-0.043977316,-0.5688278,0.29033187,0.5853285,-4.903290554171093,-4.5690279081295575,-6.704019465395414,7000,44142,0,120.46649272600189,18.420511116000853,10.045784211994032,148.93278805399677,1059.0753156970168,6
0.1517921,0.78637725,2.9079251,0.29079252,6.000328,0.49771142,37.478535,8.76443,-40.122883,27.065744,14.027284,-164.03685,-37.60386,25.789042,15.164862,-154.11351,-1.1559287,1.2155176,3.0079932,-6.2988777,0.24683398,0.5774045,1.5200365,-1.3793737,-0.30653802,0.10236265,-0.027683817,-0.5885395,0.09703398,0.674759,-5.829901217781416,-5.86198748931327,-5.250010626867916,8000,49101,0,120.83713490100126,18.144450154002698,9.87771216200781,148.85929721701177,1207.7822668570334,7
0.38339332,0.61366683,18.336641,1.8336642,7.244738,0.927351,45.486828,4.264861,-48.790413,28.298111,20.487701,-190.49153,-45.185127,26.529709,21.958431,-182.51123,-0.9072033,1.4131756,3.9440885,-6.812648,0.316406,0.6433884,1.6756574,-1.3895975,-0.32580736,0.10533364,-0.03534902,-0.61193657,0.25019157,0.3792483,-3.9094064456899367,-4.795993213377756,-4.842811905458331,9000,54351,0,119.46828749600172,17.967471730000398,11.061831395007175,148.4975906210093,1356.2666960500392,8
0.47164574,0.41917083,45.926502,4.5926504,13.065666,1.457169,35.498074,-1.4810984,-37.91253,31.804213,28.098827,-168.20468,-35.38381,30.15278,30.466394,-157.27005,-1.0302663,1.2722913,3.6334796,-7.371433,0.28938237,0.60882926,1.6044557,-1.8177688,-0.32872605,0.11526323,-0.037402205,-0.68511474,0.61264896,0.39351502,-4.712422675384352,-4.008749396449558,-4.451952453364458,10000,59470,0,121.38856610600124,17.97106956800053,10.322264345988515,149.68190001999028,1506.480466441033,9
