Z mean train,Z variance train,KL Divergence,KL Loss,QF Loss,VF Loss,Policy Loss,Aux Loss,Q Predictions Mean,Q Predictions Std,Q Predictions Max,Q Predictions Min,V Predictions Mean,V Predictions Std,V Predictions Max,V Predictions Min,Log Pis Mean,Log Pis Std,Log Pis Max,Log Pis Min,Policy mu Mean,Policy mu Std,Policy mu Max,Policy mu Min,Policy log std Mean,Policy log std Std,Policy log std Max,Policy log std Min,Z mean eval,Z variance eval,AverageTrainReturn_all_train_tasks,AverageReturn_all_train_tasks,AverageReturn_all_test_tasks,Number of train steps total,Number of env steps total,Number of rollouts total,Train Time (s),(Previous) Eval Time (s),Sample Time (s),Epoch Time (s),Total Train Time (s),Epoch
0.0015923925,0.69472486,2.1326268,0.21326268,18.725544,4.2597485,-2.0265374,25.0139,0.0056085363,0.0008168066,0.007925577,0.004002963,-0.0050872895,0.00039555194,-0.004437107,-0.0061324993,-2.031307,0.36365655,-0.97749126,-3.503014,-0.00021015554,0.0011505595,0.001414862,-0.002025452,0.00015861963,0.00047452791,0.0012095622,-0.0005835991,0.2703654,0.7621186,-8.481248162968296,-8.774983837069914,-8.422794529889833,1000,24000,0,273.7475246109998,0,49.53759296099906,323.28511757199885,340.3409873769988,0
0.1362222,0.727946,2.4922147,0.24922147,0.3604715,0.13997465,3.376869,8.969282,-5.5256386,2.5453217,-0.84816426,-16.977003,-3.2897825,2.3990302,0.42272958,-13.089989,-1.995339,0.42644423,-0.62226284,-6.7861223,0.047071975,0.17298682,0.43863508,-0.34536085,-0.15609339,0.018946806,-0.11723075,-0.19630097,0.18479864,0.6174617,-8.1767092386039,-8.305121757727921,-8.129885134210658,2000,32000,0,274.498651634,17.128552861000117,17.704413630000545,309.33161812500066,649.7509000859991,1
0.16837533,0.64551854,6.874239,0.6874239,0.4634813,0.12606806,4.058393,6.5024776,-6.2539496,5.9302745,-0.06369488,-29.854797,-4.1127186,5.7290425,2.258171,-27.392773,-1.8300809,0.7305938,0.92137766,-10.685586,0.11138512,0.31948686,0.86457264,-0.7890814,-0.18435693,0.031870652,-0.13126557,-0.3017043,0.24769719,0.34926328,-7.565053939288335,-7.849617834010786,-7.398296288233821,3000,40000,0,274.200831743,17.206655468999998,17.709169770002063,309.11665698200204,959.0699832290011,2
0.49914035,0.581942,15.808914,1.5808915,0.76928496,0.13626699,5.244365,8.371737,-7.5476985,7.839236,1.1201596,-48.954388,-5.1140785,7.468035,3.0239232,-44.779533,-1.6706177,0.86503017,1.9572368,-5.382287,0.13584302,0.40024522,1.0392154,-0.9944071,-0.19868244,0.05241615,-0.12612687,-0.4043668,0.30739442,0.21614844,-7.768014966667343,-7.958090534792366,-7.474010687106178,4000,48000,0,275.6942140629999,17.43007827800011,17.812979204001294,310.9372715450013,1269.8737537300026,3
0.28466332,0.23712312,33.96878,3.396878,0.76874685,0.1994109,3.3340268,6.2299776,-5.5835433,8.534996,2.3533928,-50.405346,-3.0619175,7.924892,4.246004,-45.389652,-1.6735932,0.8823336,2.5293217,-6.068741,0.16461171,0.3901073,1.1497437,-1.0802339,-0.20409475,0.06269852,-0.12765178,-0.4355865,0.3860271,0.1046893,-7.0892980949798865,-7.227455422828546,-7.379421064466129,5000,56000,0,275.68017310600044,17.27739543200005,17.862336711002172,310.81990524900266,1580.6229475950054,4
0.63788456,0.10623038,62.525665,6.252567,0.75030106,0.12449169,1.687136,4.233534,-3.9125404,10.832495,4.5386047,-71.323555,-1.809049,10.287088,6.4148965,-67.79994,-1.7390285,0.83155227,2.026331,-5.732478,0.15795238,0.3484719,1.2265743,-1.1377944,-0.19524246,0.061491136,-0.111400306,-0.46740326,0.92549974,0.05753467,-6.730014299238367,-6.737620582354873,-7.240346677126243,6000,64000,0,275.85826218500006,17.175922014000207,17.782600829997136,310.8167850289974,1891.6155560930024,5
0.68906045,0.26350012,109.876114,10.987612,0.97396016,0.16861479,1.0294192,7.0044203,-3.593151,10.01134,5.744826,-83.90298,-1.1058913,9.20378,7.4248433,-74.70242,-1.6310335,0.9492977,2.4222064,-5.2804575,0.21051902,0.40873984,1.1970235,-1.125693,-0.21194038,0.06336931,-0.109945685,-0.45795062,1.2421325,0.055735756,-6.891874303814561,-7.0926511807778905,-7.268272782890013,7000,72000,0,276.38361090499984,17.355274845000167,17.8722316079984,311.6111173579984,2203.311085644001,6
0.9435168,0.18182617,144.48022,14.448023,0.8928838,0.16417581,-0.28076756,1.0192742,-1.856967,11.455246,7.9839873,-77.933784,0.23018456,10.9072,9.857311,-73.69383,-1.6501716,0.9389036,3.2175283,-5.1206913,0.17709054,0.3921498,1.3428401,-1.1419978,-0.20872062,0.06037447,-0.11607795,-0.50830257,1.4150268,0.031732492,-6.676163523677583,-6.318864789189158,-7.5804128005174976,8000,80000,0,274.8739536050007,17.441862405000393,17.98365128599835,310.2994672959994,2513.537721708,7
1.5230418,0.010975931,216.9399,21.69399,0.87107885,0.09513905,-3.1718585,-1.1755632,0.8139158,9.168564,10.648252,-46.93608,3.211264,8.552448,12.809443,-41.07852,-1.6754155,0.91105694,2.143568,-5.4487047,0.17065144,0.397666,1.2993153,-1.2307125,-0.22064972,0.055427294,-0.12486625,-0.47180474,1.0402032,0.01933168,-6.9054950439907845,-6.393883858581317,-6.970321816657882,9000,88000,0,275.96021965,17.362023459999364,18.04728193900155,311.3695250490009,2824.656584666002,8
1.6464418,0.016155532,231.18074,23.118074,1.0950564,0.17695098,-4.1601963,3.3359694,1.9268179,10.423077,14.295489,-61.676975,4.370066,9.705435,16.010605,-58.14859,-1.6351386,0.92891115,2.326356,-5.962377,0.20414652,0.39820188,1.267651,-1.1161511,-0.22129458,0.05887385,-0.086239375,-0.50014794,1.328129,0.06644374,-6.803424141272511,-7.018773239620091,-7.031659500287807,10000,96000,0,275.4007222219998,17.131689883000035,17.76616127300167,310.2985733780015,3135.0593732910024,9
