Z mean train,Z variance train,KL Divergence,KL Loss,QF Loss,VF Loss,Policy Loss,Aux Loss,Q Predictions Mean,Q Predictions Std,Q Predictions Max,Q Predictions Min,V Predictions Mean,V Predictions Std,V Predictions Max,V Predictions Min,Log Pis Mean,Log Pis Std,Log Pis Max,Log Pis Min,Policy mu Mean,Policy mu Std,Policy mu Max,Policy mu Min,Policy log std Mean,Policy log std Std,Policy log std Max,Policy log std Min,Z mean eval,Z variance eval,AverageTrainReturn_all_train_tasks,AverageReturn_all_train_tasks,AverageReturn_all_test_tasks,Number of train steps total,Number of env steps total,Number of rollouts total,Train Time (s),(Previous) Eval Time (s),Sample Time (s),Epoch Time (s),Total Train Time (s),Epoch
0.0017460313,0.69353706,2.8554072,0.28554073,71.46289,4.12181,-1.9913594,23.663506,0.0035115588,0.00054304034,0.0048767608,0.002020742,-0.003612252,0.00084071,-0.0013426468,-0.0056108595,-2.0048594,0.37668502,-0.82676554,-3.5474682,-0.00031028225,0.00055561,0.0011277903,-0.001180485,-0.0002593327,0.0011027441,0.0011181713,-0.00254993,0.020912053,0.76232797,-7.412662980456995,-7.158212949788554,-7.777868040516457,1000,14800,0,122.54308880899953,0,28.244198861004406,150.78728767000393,167.94850447600584,0
0.045661118,0.8778885,0.9558092,0.09558092,1.2011873,0.55633944,14.766852,8.424872,-16.769978,6.201986,-5.925974,-42.345367,-14.146393,5.902015,-4.0864167,-39.40897,-1.7984846,0.708752,0.7369294,-5.588153,0.17606562,0.29864419,0.74192655,-0.7238871,-0.2014041,0.038730707,-0.1265585,-0.3113573,0.018280998,0.81890535,-5.774174724137741,-5.250330014799516,-6.5081369525207915,2000,19600,0,124.52782090999972,17.240381247000187,9.491427237004245,151.25962939400415,319.57444824700906,1
0.02344208,1.0884023,0.5974386,0.05974386,2.6629438,0.4921046,31.831327,8.166213,-35.18921,14.283695,-10.701781,-86.76447,-31.346867,13.377566,-9.059036,-81.07141,-1.1878631,1.2122374,2.6508448,-6.6291447,0.19148761,0.5965519,1.1391087,-1.216695,-0.25947154,0.07515144,-0.08941359,-0.44707948,0.01259225,0.85187596,-5.627906024778232,-5.308455006695152,-5.388952645515244,3000,24400,0,125.71178855899961,17.58135544000106,9.531814475001738,152.82495847400241,472.70812706701327,2
0.00967873,0.93674654,0.5701805,0.05701805,2.461361,0.44743454,28.18422,8.438238,-31.22779,17.153402,-3.0962763,-110.920204,-28.65267,15.967965,-1.4977702,-106.38362,-1.2987498,1.2088975,3.142951,-6.6889,0.25636277,0.5318251,1.3771822,-1.3395135,-0.2815528,0.08166888,-0.109790236,-0.5477629,0.031415988,0.89497614,-7.129539848564741,-7.524788813323125,-7.104652354739128,4000,29200,0,124.42954352000015,17.887524391000625,9.848492978999275,152.16556089000005,625.940349786013,3
0.0958296,1.4907368,0.9430715,0.09430715,3.4424558,0.21857825,36.650227,8.052393,-39.738987,21.857615,-0.39708057,-125.34776,-36.688274,20.43425,1.6253062,-119.04854,-1.066096,1.4002146,4.3303494,-8.845089,0.26346537,0.6218538,1.4200728,-1.512592,-0.29342195,0.09572782,-0.11470324,-0.5586763,0.041453112,0.71856284,-2.7327654655997047,-4.222196299935311,-3.3288369550687436,5000,34120,0,125.05744494699866,18.952260195001145,10.47683627600054,154.48654141800034,779.6495468670109,4
0.038422544,1.1052684,0.75822043,0.07582205,4.1935105,0.5722932,37.001617,9.854528,-39.672375,24.132015,11.706312,-168.88123,-37.113464,22.407135,10.221693,-155.14447,-1.1483147,1.2655677,3.233141,-8.127809,0.24090345,0.59409356,1.4031787,-1.439276,-0.27521983,0.097457916,-0.042004544,-0.56128603,0.01830651,1.0018024,-2.810278280918919,-2.6449477125227303,-4.2494244903408065,6000,39051,0,125.00041110699931,18.172309620000306,9.99032435800109,153.1630450850007,933.0396156880106,5
0.02308067,0.83603495,2.2423077,0.22423077,4.6810718,0.3037709,37.01578,8.201294,-39.8563,26.793274,18.717466,-172.36192,-37.082542,25.12671,18.682913,-158.92194,-1.1039515,1.2833134,4.7239246,-6.307325,0.23466392,0.60010487,1.4369912,-1.611013,-0.3022294,0.09112756,-0.06352224,-0.6477784,0.5845592,1.3383827,-5.576379752275762,-5.069945605779225,-5.32420735530941,7000,44190,0,125.58075778900093,18.44337919499958,10.319577304006089,154.3437142880066,1087.2660394920204,6
0.36447534,0.68292904,18.920528,1.8920529,6.5814204,1.2164924,36.793118,5.4687004,-39.566704,29.76305,26.757568,-180.74501,-36.289955,27.988182,27.30297,-168.36612,-1.0737928,1.2673635,4.427514,-7.405162,0.2201853,0.61581534,1.5233221,-1.6170781,-0.3057333,0.10092188,0.011535462,-0.6602508,0.4888591,0.75451607,-4.4027123465108655,-4.136635186979292,-3.706103995832058,8000,49252,0,124.49738181999965,18.28575060499861,10.433056563997525,153.21618898899578,1240.519808843017,7
0.2045769,0.46964946,37.663483,3.7663484,7.755218,0.5341625,39.729282,-2.5778053,-43.015144,33.085003,31.059486,-177.82588,-39.762463,31.496237,34.648266,-155.14923,-0.87284505,1.3718532,3.8640378,-6.2854037,0.2975262,0.6556802,1.5814401,-1.4764107,-0.32112578,0.105793595,0.078555495,-0.6322893,0.2723002,0.6174183,-8.209914994560467,-6.308694763876888,-4.820772208940445,9000,54324,0,123.1273165980001,18.330316757999753,10.366749703005553,151.8243830590054,1392.5100699420218,8
0.51938474,0.36963418,52.777817,5.277782,11.469467,1.550566,33.071857,-7.7058053,-36.442543,36.127956,39.469917,-195.9708,-33.98867,34.902523,42.560112,-186.22218,-0.92901236,1.3684986,3.9894867,-7.2554283,0.31475198,0.629173,1.5480461,-1.5345422,-0.32514668,0.10896376,0.09097751,-0.64104617,0.761797,0.43649188,-10.088213114611433,-3.3709344808513917,-3.595553825672418,10000,59459,0,122.86031114599973,18.48733468499995,10.195289500004947,151.54293533100463,1545.016269827027,9
