Z mean train,Z variance train,KL Divergence,KL Loss,QF Loss,VF Loss,Policy Loss,Aux Loss,Q Predictions Mean,Q Predictions Std,Q Predictions Max,Q Predictions Min,V Predictions Mean,V Predictions Std,V Predictions Max,V Predictions Min,Log Pis Mean,Log Pis Std,Log Pis Max,Log Pis Min,Policy mu Mean,Policy mu Std,Policy mu Max,Policy mu Min,Policy log std Mean,Policy log std Std,Policy log std Max,Policy log std Min,Z mean eval,Z variance eval,AverageTrainReturn_all_train_tasks,AverageReturn_all_train_tasks,AverageReturn_all_test_tasks,Number of train steps total,Number of env steps total,Number of rollouts total,Train Time (s),(Previous) Eval Time (s),Sample Time (s),Epoch Time (s),Total Train Time (s),Epoch
0.0024119914,0.69301134,2.873366,0.28733662,17.404028,4.186742,-2.012981,23.02453,-0.001126975,0.0007053919,0.0011168909,-0.0028516813,0.002673936,0.0007055451,0.0043962128,0.0014139466,-2.020893,0.38131678,-0.8150823,-3.8072386,-0.00011193554,0.00038075773,0.00065941643,-0.0010586083,-0.00021043625,0.0016341734,0.0020233444,-0.0030192048,0.15760855,1.0176646,-8.774052520818525,-9.51603019887758,-8.019598115054254,1000,24000,0,494.905310528,0,47.02014876900057,541.9254592970005,558.2371617910005,0
0.06725135,0.88909817,0.9859977,0.09859977,0.33137068,0.085145116,3.206358,10.671961,-5.2618876,2.5516846,-0.7146691,-16.550266,-3.306151,2.5269725,0.4480802,-14.898734,-1.985729,0.39464387,-0.55255234,-4.8469286,0.06637888,0.16199128,0.4226042,-0.37497517,-0.15765378,0.020012135,-0.12730566,-0.20908773,0.10196219,1.2464448,-7.680754305027419,-7.773919188816656,-7.230883550961178,2000,32000,0,499.437263238,16.357893745999945,16.6164960050005,532.4116529890005,1090.8247965200007,1
0.19726509,1.204987,2.2050943,0.22050944,0.40034115,0.10906137,4.4170365,7.3269453,-6.6336336,5.69099,-0.12650335,-32.63268,-4.513223,5.4517255,1.8330302,-30.866951,-1.8170179,0.71529514,1.0298929,-6.3546042,0.13657661,0.31207266,0.8818883,-0.8726661,-0.18864648,0.03760425,-0.1252795,-0.301139,1.0021654,0.6574029,-7.685709827108063,-7.581444376337666,-7.51784541258707,3000,40000,0,503.3849866690002,16.542364920999944,16.725026443000388,536.6523780330006,1627.6461408280015,2
0.989243,0.6762138,35.73723,3.5737228,0.699966,0.107737705,4.415545,0.543927,-6.748685,7.4554944,0.4644454,-56.093163,-4.3305874,6.972726,2.4864616,-52.37131,-1.7113473,0.84445184,1.6001649,-7.1922636,0.118532754,0.3763264,1.0392992,-1.0592687,-0.20281191,0.061055187,-0.12125703,-0.43346047,0.3252996,0.5655709,-7.903785991336204,-7.893854379269612,-7.467756977655071,4000,48000,0,504.37731791299984,16.741184600999986,16.92692562699949,538.0454281409993,2165.7299284960004,3
0.061754376,0.6729062,31.960873,3.1960874,0.9970141,0.16445842,9.007543,-2.69829,-11.664797,12.346864,0.96321654,-68.17577,-8.928705,11.643214,2.8998237,-64.059006,-1.4727349,1.0766085,2.295027,-7.814453,0.21287386,0.47522265,1.1639715,-1.1539774,-0.22218628,0.0785999,-0.09839958,-0.4541892,0.070822865,0.6630065,-7.099312020563394,-7.063086541534295,-7.26424276137666,5000,56000,0,502.26600001199995,16.772279669,16.827367202000005,535.865646883,2701.369318087001,4
0.33732215,0.6897261,36.407757,3.6407757,1.0555454,0.1401479,7.0575414,-4.7767153,-9.759203,12.522937,2.6168756,-82.73362,-7.1399364,11.660025,4.5048523,-75.96222,-1.4351761,1.1123574,2.7027745,-6.556409,0.19520874,0.5008144,1.2752897,-1.2438006,-0.23120421,0.07899975,-0.098196626,-0.45642772,0.36080584,0.69617516,-6.777246720731021,-6.44541835156257,-6.9209413562513955,6000,64000,0,505.86866753999993,16.529410869999992,16.750326127999415,539.1484045379993,3240.760117233999,5
0.22328027,0.77337545,42.46941,4.246941,0.9018302,0.14901808,2.2277718,-9.71907,-4.580055,10.790708,4.6268725,-73.040146,-2.1050677,10.070429,6.6657844,-73.83759,-1.6409382,0.9441631,2.5105708,-5.937019,0.14958555,0.41686156,1.2711412,-1.2638818,-0.21884368,0.06416275,-0.10111408,-0.46334115,0.28336537,0.738014,-6.566977655143477,-7.254814988665831,-7.280616050695275,7000,72000,0,511.7441615329999,16.789305119000346,17.203981815992847,545.7374484679931,3786.782714813993,6
0.09010758,0.79604167,43.568054,4.3568053,1.293016,0.304306,4.5199285,-12.434456,-7.1661634,14.989062,6.8356543,-95.76522,-4.8220882,14.3945465,8.675632,-89.88811,-1.5125467,1.0204656,3.1478534,-7.743179,0.13530344,0.47392657,1.2443777,-1.3431017,-0.23357756,0.06629334,-0.09837486,-0.50806415,0.27471766,0.78978634,-6.290264274299742,-7.998655065942097,-8.736377744393886,8000,80000,0,511.90672024299965,17.0977733310001,17.06340003099922,546.067893604999,4332.849483803989,7
0.20868008,0.8283687,36.681175,3.6681175,1.2462865,0.23807399,0.97327375,-7.6152496,-3.4160163,13.28624,8.891107,-71.492256,-1.0834467,12.730706,10.904784,-67.256134,-1.4946759,1.0181473,3.1821237,-5.181445,0.18162179,0.46370062,1.3352917,-1.3604842,-0.23113482,0.07040203,-0.079159915,-0.51572317,0.2930077,0.7159807,-6.379969992793635,-6.213200566189465,-7.369377377586716,9000,88000,0,518.5615951420004,17.05877345799945,17.032944837004834,552.6533134370047,4885.567532243996,8
0.10800505,0.7807892,41.389397,4.13894,1.4752154,0.20007662,0.049218982,-5.7722306,-2.5530803,13.555769,11.672029,-80.160355,0.150706,12.808964,13.649093,-75.02573,-1.4638834,1.0283614,3.2156723,-6.4310417,0.16796486,0.49323806,1.3518679,-1.3318547,-0.23723559,0.068222456,-0.081415854,-0.52543616,0.27643666,0.7327296,-6.203556103436801,-6.554351663540035,-6.742610241877459,10000,96000,0,511.7824428089998,17.09728569300023,16.93384204099857,545.8135705429986,5431.083505999993,9
0.14747141,0.7810128,48.0027,4.80027,1.1334803,0.14038235,-5.521971,-8.080521,3.20238,10.192786,14.432162,-56.482765,5.550426,9.680729,16.1864,-56.872375,-1.590437,0.9750052,2.6388302,-7.1536717,0.17476614,0.4388785,1.3018364,-1.2501739,-0.22993392,0.057233565,-0.053624943,-0.48110676,0.3239217,0.7590144,-6.266162059815338,-6.556028623763599,-6.611563547131875,11000,104000,0,506.0577880770006,16.814318245999857,16.84201420700265,539.7141205300031,5970.7300982109955,10
0.21515743,0.75802726,47.168907,4.716891,1.4055493,0.143476,-4.0903087,-11.019827,1.5373806,15.090706,16.642954,-90.75547,4.128114,14.16678,18.805677,-86.95166,-1.4049327,1.0870639,3.2943146,-6.589946,0.20385951,0.49630168,1.419312,-1.1976234,-0.24623561,0.068728514,-0.06556056,-0.59316593,0.22600836,0.79116035,-5.92311537958374,-6.3731408716533435,-6.215411386487789,12000,112000,0,494.97757409399946,16.777885579999747,16.559804322001582,528.3152639960008,6498.6089043489965,11
0.22341032,0.7653401,42.193485,4.2193484,1.3742955,0.16796449,-7.8334117,2.4406507,5.3547554,13.95467,19.138199,-85.05108,7.777032,13.136261,20.805939,-72.782234,-1.5113013,1.0551223,2.5296788,-7.3815036,0.1380231,0.48959363,1.3537658,-1.227031,-0.2387517,0.06680378,-0.046390664,-0.5784984,0.28297222,0.7438009,-5.548661957877162,-6.11350283943057,-6.540084891324748,13000,120000,0,490.4874485399996,16.29394515399963,16.089061386998765,522.870455080998,7021.2382215389935,12
0.20698176,0.8864538,42.41662,4.241662,1.2680905,0.21850991,-11.35361,-9.112042,8.936348,11.107303,22.239418,-69.098816,11.2689085,10.5262985,23.705393,-60.93392,-1.5305669,0.94865173,2.749623,-7.18351,0.1186645,0.47234604,1.2268877,-1.4028153,-0.2390459,0.061612904,-0.097795725,-0.5306314,0.29545248,0.77619344,-5.9103631321987,-6.517054724892041,-7.081560185602951,14000,128000,0,485.6724734930003,16.05184125999949,16.072963118996995,517.7972778719968,7539.122224726992,13
