Z mean train,Z variance train,KL Divergence,KL Loss,QF Loss,VF Loss,Policy Loss,Aux Loss,Q Predictions Mean,Q Predictions Std,Q Predictions Max,Q Predictions Min,V Predictions Mean,V Predictions Std,V Predictions Max,V Predictions Min,Log Pis Mean,Log Pis Std,Log Pis Max,Log Pis Min,Policy mu Mean,Policy mu Std,Policy mu Max,Policy mu Min,Policy log std Mean,Policy log std Std,Policy log std Max,Policy log std Min,Z mean eval,Z variance eval,AverageTrainReturn_all_train_tasks,AverageReturn_all_train_tasks,AverageReturn_all_test_tasks,Number of train steps total,Number of env steps total,Number of rollouts total,Train Time (s),(Previous) Eval Time (s),Sample Time (s),Epoch Time (s),Total Train Time (s),Epoch
0.0019629705,0.6934065,2.859527,0.28595272,17.420391,4.1909885,-2.0084107,23.973017,0.0007666756,0.00060448813,0.0021087355,-0.0009818713,-0.0024033221,0.0006744943,-0.0007412848,-0.0042437036,-2.0132008,0.38416487,-0.81988215,-3.9081907,0.00030067898,0.00025783243,0.0009881887,-0.00056209613,0.00058804225,0.00047058036,0.0014117128,-0.0005062509,0.021381348,0.79339504,-8.862549571382049,-9.748494344658194,-8.833761689394464,1000,15600,0,104.31447583499994,0,30.03765686199904,134.35213269699898,149.93812049199892,0
0.0641266,0.9256548,1.0242798,0.10242798,0.37940466,0.065792724,2.8716037,9.032287,-4.9423127,2.4724784,-0.6855464,-18.449133,-2.8806057,2.3923397,0.21572384,-15.692853,-2.0004964,0.37156433,-0.6226803,-4.384788,0.054835677,0.15371567,0.36030972,-0.3435909,-0.14651269,0.016474111,-0.12249723,-0.19319977,0.00324784,0.8733936,-7.587107944064272,-8.043354711951952,-7.3985476945228275,2000,21200,0,102.734385771,15.634827631000007,11.232728864000137,129.60194226600015,279.8535025869992,1
0.02998848,1.0565842,0.7928829,0.0792883,0.607572,0.086543635,5.317459,8.252342,-7.608326,5.3531013,-0.114287026,-31.451214,-5.2704263,5.0958643,1.8374252,-28.134983,-1.7891378,0.7210781,0.76671255,-6.3404875,0.09351218,0.33253396,0.7933068,-0.8605168,-0.19009297,0.034179073,-0.13234589,-0.2925928,0.021507228,0.8116159,-7.930506693301838,-7.815948614923153,-8.020133774894873,3000,26800,0,103.67116607000003,15.965500813000062,10.987791431999995,130.62445831500008,410.2965732169989,2
