Z mean train,Z variance train,KL Divergence,KL Loss,QF Loss,VF Loss,Policy Loss,Aux Loss,Q Predictions Mean,Q Predictions Std,Q Predictions Max,Q Predictions Min,V Predictions Mean,V Predictions Std,V Predictions Max,V Predictions Min,Log Pis Mean,Log Pis Std,Log Pis Max,Log Pis Min,Policy mu Mean,Policy mu Std,Policy mu Max,Policy mu Min,Policy log std Mean,Policy log std Std,Policy log std Max,Policy log std Min,Z mean eval,Z variance eval,AverageTrainReturn_all_train_tasks,AverageReturn_all_train_tasks,AverageReturn_all_test_tasks,Number of train steps total,Number of env steps total,Number of rollouts total,Train Time (s),(Previous) Eval Time (s),Sample Time (s),Epoch Time (s),Total Train Time (s),Epoch
0.0018935216,0.6936407,2.855711,0.2855711,73.09675,4.1003966,-1.9898882,22.831402,-0.002680948,0.0004904414,-0.0015543345,-0.0041990685,0.00039519585,0.00054408837,0.0017843188,-0.0012625332,-2.0048761,0.37724182,-0.7935331,-3.443349,-0.0019251904,0.00039210182,-0.00087335956,-0.002907045,9.849027e-05,0.00043178798,0.0010005058,-0.0008257085,0.037750818,0.8093719,-6.730240428205848,-7.889303733211858,-8.048905437696774,1000,14800,0,121.57544279299873,0,27.461909100999037,149.03735189399777,166.01202924300014,0
0.051454354,0.9315314,0.8428923,0.08428923,1.1982589,0.23659265,14.381803,9.258622,-16.612133,5.54032,-5.1518946,-44.06158,-14.072458,5.3028708,-3.7614892,-41.102142,-1.8301392,0.65840214,0.65584934,-4.6937056,0.16865318,0.2716323,0.7650045,-0.74149054,-0.18810056,0.037117187,-0.13767813,-0.29792058,0.012427566,0.8002632,-6.7068662715803455,-6.5301065100077995,-6.283887505562499,2000,19600,0,121.55214359399906,17.034316438001042,9.238882970996201,147.8253430029963,313.91418136699576,1
0.027931795,0.92520094,0.5361706,0.05361706,1.867836,0.3047734,23.89215,8.870622,-26.872814,12.146898,-3.7468476,-85.61139,-23.574501,11.257424,-1.7520951,-76.03149,-1.4125278,1.1343236,2.171259,-6.0913196,0.24544583,0.49941415,1.1893255,-1.1852444,-0.23845772,0.061863292,-0.121068925,-0.42722943,0.007523008,0.88946325,-5.1007209295667035,-6.885919563552531,-5.813454417080902,3000,24438,0,122.63472146599997,17.097041752998848,9.322674489001656,149.05443770800048,463.1528475339983,2
0.012212052,0.81393075,0.37537524,0.037537526,2.6830757,0.3861571,33.740757,10.754886,-37.267857,17.554604,-4.20841,-120.09666,-34.06563,16.70345,-2.3239324,-114.115326,-1.1135495,1.3276939,3.2255425,-8.728238,0.28200355,0.607256,1.3064238,-1.41567,-0.28068385,0.08659439,-0.12926312,-0.5270961,0.014542922,0.91654664,-3.7637963374277055,-5.635156460272546,-6.3894786883141395,4000,29238,0,121.5264800519999,17.309653458998582,9.782454570000482,148.61858808099896,612.5583535209989,3
0.025420377,0.79003453,0.72489965,0.07248997,3.6183815,0.40059644,33.83295,12.654936,-36.854042,21.233927,2.3488593,-118.11007,-33.531067,19.915691,3.4122472,-113.52492,-1.1887472,1.2825781,3.9792128,-6.4394965,0.2648102,0.5779484,1.3011353,-1.4240426,-0.28382227,0.0847433,-0.09340429,-0.5513516,0.013216548,0.88998014,-5.626734213528042,-5.224922457734724,-6.570893885711333,5000,34194,0,121.62764819600125,18.076607785000306,9.41300618900459,149.11726217000614,761.6517703550071,4
0.028094446,0.7673805,1.0876665,0.10876665,4.4611225,0.5524342,36.763912,9.446638,-39.87143,23.081842,11.370816,-142.86154,-37.121483,21.827095,12.648645,-134.32433,-1.0636928,1.3156179,3.9778974,-6.857925,0.27269638,0.6064668,1.4179356,-1.4575529,-0.30673274,0.08601517,-0.048981845,-0.5859286,0.041821342,0.7917052,-1.734605369214382,-7.202972548051596,-7.141233239129784,6000,39328,0,120.47992404900106,18.041784139999436,10.608339086000342,149.13004727500083,909.4411058600126,5
0.06141277,0.73501176,1.7494472,0.17494473,5.5439835,0.5799916,40.428078,7.0523863,-43.874657,25.77396,22.398142,-154.03235,-40.295982,24.087194,22.699844,-138.53404,-0.8454471,1.384427,4.0815334,-7.8568096,0.31679428,0.64437765,1.4856125,-1.5395834,-0.3221577,0.10262819,0.13639763,-0.6009253,0.07229306,0.7670188,-2.9317541075579228,-7.109814463930265,-6.889235262800078,7000,44515,0,121.67492759599918,16.721999165001762,10.684727952007961,149.0816547130089,1058.0668856270167,6
0.04196306,0.98286766,2.330431,0.2330431,6.842387,0.49271488,33.788124,8.546583,-36.724857,27.379856,29.199978,-183.86957,-33.67144,25.944895,30.546173,-168.47176,-1.0266103,1.3243382,3.9916012,-6.82488,0.30156982,0.61468464,1.5720184,-1.4861306,-0.3342822,0.10718229,0.1294188,-0.6113066,0.107785225,0.7050449,-6.470234362031583,-5.580339185888678,-6.7036038672672875,8000,49648,0,120.21749912700034,16.269363605999388,10.297872416005703,146.78473514900543,1205.7268012630157,7
0.1326019,0.782182,10.549371,1.0549371,12.598141,1.5941665,41.75112,7.5130234,-44.51601,34.8511,35.29344,-193.42474,-41.203854,33.089508,37.3272,-181.21698,-0.8262957,1.3872656,3.9094446,-6.8054447,0.28061524,0.6729621,1.5387725,-1.4072909,-0.3336712,0.11518924,0.13385893,-0.623615,0.30929434,0.67969304,-7.824385318642517,-5.796336133967357,-7.249330562393114,9000,54570,0,120.65775340999971,17.138709329999983,9.659016176996374,147.45547891699607,1353.5415579600085,8
0.5118375,0.42666736,33.315853,3.3315854,16.355366,1.9881177,29.824827,-2.0115156,-32.238415,31.409304,38.98154,-153.43755,-30.401678,29.66724,42.241226,-146.5536,-1.0306807,1.2968544,3.5746875,-6.7176394,0.31170252,0.5966609,1.7738968,-1.3264251,-0.31968245,0.118600205,0.14097324,-0.64560777,0.43943417,0.5852315,-7.282087478182762,-4.9785633959926345,-6.568461100432851,10000,59456,0,122.98829907300023,17.47751727099967,9.623659216005763,150.08947556000567,1503.6220123430212,9
