Z mean train,Z variance train,KL Divergence,KL Loss,QF Loss,VF Loss,Policy Loss,Aux Loss,Q Predictions Mean,Q Predictions Std,Q Predictions Max,Q Predictions Min,V Predictions Mean,V Predictions Std,V Predictions Max,V Predictions Min,Log Pis Mean,Log Pis Std,Log Pis Max,Log Pis Min,Policy mu Mean,Policy mu Std,Policy mu Max,Policy mu Min,Policy log std Mean,Policy log std Std,Policy log std Max,Policy log std Min,Z mean eval,Z variance eval,AverageTrainReturn_all_train_tasks,AverageReturn_all_train_tasks,AverageReturn_all_test_tasks,Number of train steps total,Number of env steps total,Number of rollouts total,Train Time (s),(Previous) Eval Time (s),Sample Time (s),Epoch Time (s),Total Train Time (s),Epoch
0.002644783,0.6933333,2.8677144,0.28677145,19.39148,4.196988,-2.0118473,25.356653,-9.176563e-05,0.0007905096,0.002149784,-0.001942286,-0.0018579529,0.00034975368,-0.00059954193,-0.002608467,-2.0174623,0.3767714,-0.85579777,-3.3878345,-0.00044540464,0.000352435,0.00047285634,-0.00126972,0.0006922568,0.00026269964,0.001269905,-0.00010101264,0.08416233,1.0467032,-8.407505308202895,-8.22884993285125,-7.61981292891451,1000,24000,0,260.117395363,0,29.846016152999937,289.96341151599995,300.0781818559999,0
0.10763546,1.0812974,0.65626353,0.06562635,0.26848254,0.11375263,3.587904,8.486845,-5.674408,3.1946635,-0.26085645,-17.205612,-3.3896506,3.0518384,0.8652451,-14.427709,-1.9744709,0.43597367,-0.19136536,-4.846043,0.07287007,0.17863743,0.38065124,-0.42484295,-0.1550193,0.014168953,-0.12587173,-0.19806218,0.025218857,1.0527998,-7.7102769089685435,-7.722380263455628,-7.2459613767515325,2000,32000,0,260.8492386360001,10.151158103999933,10.61922450599991,281.61962124599995,581.6490787359996,1
0.03904194,1.1392117,2.315793,0.2315793,0.5408838,0.106486775,4.8248267,7.7424364,-7.0947094,6.5216556,-0.004951943,-30.413918,-4.8937564,6.358689,2.148041,-28.877079,-1.811588,0.72829217,1.0126202,-4.8740616,0.106155455,0.33518133,0.8641832,-0.86787367,-0.18295652,0.03568019,-0.12084046,-0.29840103,0.13188349,0.7433181,-8.049845940755672,-8.118962717049973,-7.67607656798999,3000,40000,0,262.2531516260001,10.102272206999942,10.586078788998975,282.941502621999,864.6084884469985,2
0.5030082,1.594533,4.353454,0.4353454,0.7578628,0.12701814,4.6731486,10.322044,-7.1038795,8.088325,1.1535428,-40.901005,-4.7297497,7.6423855,3.599867,-36.877014,-1.7007176,0.8353783,1.7061216,-7.008741,0.13746698,0.37043756,1.0354868,-1.0790998,-0.20298636,0.059994865,-0.115329236,-0.41873363,0.35371602,0.66185457,-7.21258496289674,-7.232504704213587,-6.918265151327255,4000,48000,0,264.1128359019999,10.124553268999989,10.769247436001478,285.0066366070014,1150.301334382,3
0.26216948,0.66131335,3.8903816,0.38903818,0.8876618,0.118445024,7.0336485,8.18013,-9.665615,13.04826,2.9784424,-61.294346,-7.0699244,12.2944,4.993093,-57.146866,-1.5079691,1.0478927,2.1994734,-8.811646,0.19121714,0.45819378,1.1350081,-1.1891723,-0.22609319,0.076328844,-0.11977239,-0.48006198,0.20126796,0.8518565,-6.6429061110028,-6.929315259856163,-7.322867377225132,5000,56000,0,286.05737846500006,10.816228874999979,11.717248128999927,308.59085546899996,1458.9245579730002,4
0.506797,0.688417,17.285988,1.7285988,0.79240733,0.21127921,2.077566,6.0373154,-4.50325,11.151281,4.917055,-87.65374,-2.2890668,10.685335,6.99991,-83.79726,-1.6831477,0.85609776,1.87146,-6.2919917,0.17730337,0.3750331,1.1903002,-1.2100312,-0.20796259,0.06577896,-0.10913568,-0.46604013,0.6846164,0.47559047,-6.89223533176951,-6.627943525328452,-6.798333005076026,6000,64000,0,284.5539535789999,10.827968939999664,11.39194195500022,306.77386447399977,1765.6590537270001,5
0.23911805,0.57261467,30.476795,3.0476797,1.0377111,0.12382871,2.2795844,5.7649755,-4.6099157,11.968883,7.047941,-107.351654,-2.16793,11.345034,9.000338,-98.980865,-1.597674,0.95204115,2.04405,-5.3368835,0.14513569,0.42797548,1.2657058,-1.2999206,-0.2192598,0.069144696,-0.07786619,-0.48423034,0.61383647,0.6306494,-6.413880085682742,-6.913834182669795,-6.800668908345638,7000,72000,0,282.80046670599995,10.789186995999898,11.285904467000364,304.8755581690002,2070.5393072869992,6
0.19301683,0.59705126,35.162895,3.5162895,1.2109677,0.13463771,4.092851,-0.54150987,-6.790227,14.649952,9.71183,-77.84384,-4.177084,13.913709,11.779026,-72.020744,-1.3941021,1.1250888,2.5973096,-6.670678,0.23995775,0.48843482,1.306538,-1.266317,-0.24370854,0.074619375,-0.098243944,-0.5083069,0.3660016,0.6404814,-6.274051309349065,-6.523860929935509,-6.903587077271466,8000,80000,0,283.4113433570001,10.803259115999936,11.436950783000157,305.65155325600017,2376.3771272429994,7
0.060545605,0.64716846,47.382812,4.7382812,1.284795,0.18816763,1.5321621,0.90927887,-4.0749197,15.326732,12.042579,-116.42055,-1.2818722,14.448962,14.38861,-109.65839,-1.422466,1.1377926,3.186235,-5.9260592,0.19821225,0.5027505,1.4675918,-1.4483613,-0.24129747,0.07645026,-0.11673822,-0.51840305,0.10933691,0.6900997,-5.8453036335247095,-6.050773245818648,-6.256175157425295,9000,88000,0,274.79256768100004,10.995775551999941,11.176901269000155,296.96524450200013,2673.1993738459996,8
0.14197822,0.6401549,40.195107,4.0195107,1.2160809,0.19592589,0.18309382,-2.2010894,-2.8200843,17.32072,14.454808,-84.40972,-0.013736427,16.361084,16.30695,-77.100876,-1.4298317,1.1075131,3.51433,-5.8008804,0.24204065,0.4820913,1.4147943,-1.4602939,-0.24719386,0.07086875,-0.08150782,-0.5370395,0.2517608,0.66561836,-6.102355734529556,-6.801196065312459,-7.133751153978125,10000,96000,0,283.008549526,10.829764355999941,11.382832682000753,305.2211465640007,2978.387506362,9
